Disabled,Type,Set,Position,Sign,Weight,Type Relative,Relative Set,Relative
False,Assets,,ABG.JO,<=,0.0151,,,
False,Assets,,INL.JO,<=,0.0151,,,
False,Assets,,NED.JO,<=,0.0100,,,
False,Assets,,FSR.JO,<=,0.0337,,,
False,Assets,,SBKP.JO,<=,0.0151,,,
False,Assets,,CPI.JO,<=,0.0244,,,
False,Assets,,ANH.JO,<=,0.0244,,,
False,Assets,,INP.JO,<=,0.0244,,,
False,Assets,,SOL.JO,<=,0.0244,,,
False,Assets,,MNP.JO,<=,0.0244,,,
False,Assets,,BVT.JO,<=,0.0337,,,
False,Assets,,AGL.JO,<=,0.0337,,,
False,Assets,,BHG.JO,<=,0.0337,,,
False,Assets,,GLN.JO,<=,0.0151,,,
False,Assets,,RNI.JO,<=,0.0244,,,
False,Assets,,REM.JO,<=,0.0244,,,
False,Assets,,DSY.JO,<=,0.0100,,,
False,Assets,,SLM.JO,<=,0.0151,,,
False,Assets,,OMU.JO,<=,0.0244,,,
False,Assets,,EXX.JO,<=,0.0151,,,
False,Assets,,BID.JO,<=,0.0337,,,
False,Assets,,CLS.JO,<=,0.0244,,,
False,Assets,,SHP.JO,<=,0.0244,,,
False,Assets,,CFR.JO,<=,0.0244,,,
False,Assets,,APN.JO,<=,0.0673,,,
False,Assets,,ANG.JO,<=,0.0337,,,
False,Assets,,GFI.JO,<=,0.0244,,,
False,Assets,,HAR.JO,<=,0.0337,,,
False,Assets,,IMP.JO,<=,0.0151,,,
False,Assets,,NPH.JO,<=,0.0244,,,
False,Assets,,SSW.JO,<=,0.0244,,,
False,Assets,,NRP.JO,<=,0.0244,,,
False,Assets,,GRT.JO,<=,0.0244,,,
False,Assets,,MRP.JO,<=,0.0244,,,
False,Assets,,PPH.JO,<=,0.0244,,,
False,Assets,,NPN.JO,<=,0.0244,,,
False,Assets,,WHL.JO,<=,0.0337,,,
False,Assets,,PRX.JO,<=,0.0244,,,
False,Assets,,MTN.JO,<=,0.0000,,,
False,Assets,,VOD.JO,<=,0.0244,,,
False,Assets,,BTI.JO,<=,0.0244,,,
