Disabled,Type,Set,Position,Sign ,Weight,Type Relative,Relative Set,Relative
False,Assets,,ABG.JO,<=,0.0237,Assets,,
False,Assets,,INL.JO,<=,0.0237,Assets,,
False,Assets,,NED.JO,<=,0.0237,Assets,,
False,Assets,,SOL.JO,<=,0.0237,Assets,,
False,Assets,,ADH.JO,<=,0.0237,Assets,,
False,Assets,,AVI.JO,<=,0.0237,Assets,,
False,Assets,,TBS.JO,<=,0.0237,Assets,,
False,Assets,,BAW.JO,<=,0.0237,Assets,,
False,Assets,,MNP.JO,<=,0.0237,Assets,,
False,Assets,,NTC.JO,<=,0.0237,Assets,,
False,Assets,,SAP.JO,<=,0.0237,Assets,,
False,Assets,,ARI.JO,<=,0.0237,Assets,,
False,Assets,,GLN.JO,<=,0.0237,Assets,,
False,Assets,,KIO.JO,<=,0.0237,Assets,,
False,Assets,,QLT.JO,<=,0.0237,Assets,,
False,Assets,,RNI.JO,<=,0.0237,Assets,,
False,Assets,,REM.JO,<=,0.0237,Assets,,
False,Assets,,DSY.JO,<=,0.0237,Assets,,
False,Assets,,MTM.JO,<=,0.0237,Assets,,
False,Assets,,OMU.JO,<=,0.0237,Assets,,
False,Assets,,OUT.JO,<=,0.0237,Assets,,
False,Assets,,EXX.JO,<=,0.0237,Assets,,
False,Assets,,CLS.JO,<=,0.0237,Assets,,
False,Assets,,SPP.JO,<=,0.0237,Assets,,
False,Assets,,APN.JO,<=,0.0237,Assets,,
False,Assets,,AMS.JO,<=,0.0237,Assets,,
False,Assets,,DRD.JO,<=,0.0237,Assets,,
False,Assets,,IMP.JO,<=,0.0237,Assets,,
False,Assets,,NPH.JO,<=,0.0237,Assets,,
False,Assets,,SSW.JO,<=,0.0237,Assets,,
False,Assets,,FFB.JO,<=,0.0237,Assets,,
False,Assets,,GRT.JO,<=,0.0237,Assets,,
False,Assets,,RDF.JO,<=,0.0237,Assets,,
False,Assets,,RES.JO,<=,0.0237,Assets,,
False,Assets,,MTH.JO,<=,0.0237,Assets,,
False,Assets,,MRP.JO,<=,0.0237,Assets,,
False,Assets,,TFG.JO,<=,0.0237,Assets,,
False,Assets,,TRU.JO,<=,0.0237,Assets,,
False,Assets,,WHL.JO,<=,0.0237,Assets,,
False,Assets,,MCG.JO,<=,0.0237,Assets,,
False,Assets,,VOD.JO,<=,0.0237,Assets,,
